code_pme;source;code_insee_commune;axe;pr_debut;abscisse_debut;pr_fin;abscisse_fin;sens_gestionnaire;sens_cardinal;sens_migratoire;sens_giratoire;longueur;nb_voies;x_deb;y_deb;x_fin;y_fin;code_traficolor
MWJ35.Q1;DIRO;533535238;N136;35PR11D;780;35PR12D;290;1;EST_OUEST;Y;INTERIEUR;490;0;350407.56;6786227.5;349934.0;6787075.0;RE35
MYK69.E1;DIRCE;826969282;N346;69PR33D;327;69PR34D;510;1;NORD_SUD;Y;;1128;0;854229.0;6520904.0;854282.1;6519960.5;LY69
MYK69.E2;DIRCE;826969282;N346;69PR34G;391;69PR34G;509;1;SUD_NORD;W;;118;0;854293.1;6519961.5;854293.1;6519961.5;LY69
MYL42.Z1;DIRCE;824242218;N88;42PR40D;450;42PR41D;350;1;NORD_SUD;Y;;882;0;809185.06;6480006.0;808293.5;6479631.5;ST42
MQR69.H1;DIRCE;;;;0;;;;;;;0;0;;;;;
MYR69.B1;DIRCE;826969252;A47;69PR11D;600;69PR13D;500;1;EST_OUEST;Y;;1875;0;830967.3;6495926.0;829270.7;6495081.0;ST42
MYR69.B2;DIRCE;826969252;A47;69PR11G;600;69PR13G;500;1;OUEST_EST;W;;1875;0;830973.2;6495915.5;829274.5;6495073.0;ST42
MQR69.H2;DIRCE;;;;0;;;;;;;0;0;;;;;
MB831.L1;DIRSO;733131555;A620;31PR5D;816;31PR6D;698;1;NORD_SUD;Y;EXTERIEUR;878;0;571963.0;6280311.0;571106.0;6279798.0;TO31
MZO57.51;DIRE;415454312;A31;54PR280D;672;54PR283D;1024;1;SUD_NORD;W;;11065;0;927912.2;6874593.0;927645.06;6877563.5;ME57
MM113.s2;DIRMED;931313015;A51;13PR9G;817;13PR10G;317;1;NORD_SUD;Y;;498;0;894544.0;6265203.5;894837.56;6266130.5;MA13
MQA01.A2;DIRCE;;;;0;;;;;;;0;0;;;;;
MZO57.52;DIRE;415757146;A31;290;770;;;2;;;;0;0;;;;;
MB831.L2;DIRSO;733131555;A620;31PR5G;816;31PR6G;698;1;SUD_NORD;W;INTERIEUR;878;0;571968.0;6280295.0;571112.0;6279784.0;TO31
MQA01.A1;DIRCE;;;;0;;;;;;;0;0;;;;;
MQA01.A4;DIRCE;;;;0;;;;;;;0;0;;;;;
MQA01.A3;DIRCE;;;;0;;;;;;;0;0;;;;;
MUM76.O2;DIRNO;237676322;N338;76PR5G;30;76PR6G;40;1;NORD_SUD;Y;;1166;0;558049.6;6925669.0;558643.1;6926645.5;RO76
MUM76.O1;DIRNO;237676322;N338;76PR5D;30;76PR6D;40;1;SUD_NORD;W;;1168;0;558062.6;6925662.5;558660.44;6926639.0;RO76
MB233.t1;DIRA;723333318;A630;33PR20D;532;33PR21D;272;1;NORD_SUD;Y;EXTERIEUR;581;0;409940.0;6418928.0;410542.0;6418343.0;BX33
MYL42.Y2;DIRCE;824242218;N88;42PR36G;150;42PR37G;450;1;SUD_NORD;W;;1274;0;811555.25;6482513.5;810771.75;6482355.5;ST42
MB133.J1;DIRA;723333281;A630;33PR16D;283;33PR16D;860;1;NORD_SUD;Y;EXTERIEUR;575;0;409890.0;6422773.0;409890.0;6422773.0;BX33
MB233.t2;DIRA;723333318;A630;33PR20G;529;33PR21G;275;1;SUD_NORD;W;INTERIEUR;580;0;409956.0;6418939.0;410555.0;6418357.0;BX33
MYL42.Y1;DIRCE;824242218;N88;42PR36D;150;42PR37D;450;1;NORD_SUD;Y;;1284;0;811552.5;6482523.0;810755.7;6482365.5;ST42
MM813.p2;DIRMED;931313055;A7;13PR280G;165;13PR280G;665;1;SUD_NORD;W;;500;0;893003.0;6250198.0;893003.0;6250198.0;MA13
MB133.J2;DIRA;723333281;A630;33PR16G;289;33PR17G;54;1;SUD_NORD;W;INTERIEUR;732;0;409907.0;6422762.0;409550.0;6421873.0;BX33
MYK69.F1;DIRCE;826969282;N346;69PR34D;511;69PR35D;522;1;NORD_SUD;Y;;1010;0;854282.1;6519960.5;854342.06;6518963.0;LY69
MWJ35.P2;DIRO;533535238;N136;35PR9G;984;35PR10G;700;1;OUEST_EST;W;EXTERIEUR;705;0;352159.1;6785888.5;351165.38;6785804.0;RE35
MWJ35.P1;DIRO;533535206;N136;35PR10D;160;35PR11D;80;1;EST_OUEST;Y;INTERIEUR;891;0;351164.28;6785816.0;350407.56;6786227.5;RE35
MYK69.F2;DIRCE;826969282;N346;69PR34G;510;69PR35G;521;1;SUD_NORD;W;;1008;0;854293.1;6519961.5;854353.0;6518964.5;LY69
MQR69.I1;DIRCE;;;;0;;;;;;;0;0;;;;;
MQR69.I2;DIRCE;;;;0;;;;;;;0;0;;;;;
MZO57.42;DIRE;415757352;A31;57PR298G;991;57PR303G;18;1;NORD_SUD;Y;;3978;0;926910.4;6892245.0;930704.56;6895192.0;ME57
MB831.M2;DIRSO;733131555;A620;31PR10G;825;31PR11G;401;1;SUD_NORD;W;INTERIEUR;552;0;571538.0;6276223.0;572247.0;6275664.0;TO31
MZO57.41;DIRE;415757487;A31;57PR299D;0;57PR303D;0;1;SUD_NORD;W;;3968;0;927593.4;6892969.5;930723.56;6895193.0;ME57
MB831.M1;DIRSO;733131555;A620;31PR10D;825;31PR11D;401;1;NORD_SUD;Y;EXTERIEUR;568;0;571523.0;6276210.0;572251.0;6275654.0;TO31
A0025020930;DIRN;;;;0;;;;;;;0;0;;;;;
MUM76.N1;DIRNO;237676540;N28;76PR3D;0;76PR3D;1122;1;SUD_NORD;Y;;1151;0;564996.0;6928900.0;564996.0;6928900.0;RO76
MZE54.X1;DIRE;415454328;A330;54PR4D;100;FRD;0;1;NORD_SUD;Y;;5935;0;934536.0;6841123.0;934109.0;6835327.0;NA54
MZE54.X2;DIRE;415454328;A330;54PR4G;100;FRG;0;1;SUD_NORD;W;;5938;0;934549.0;6841127.0;934120.0;6835328.0;NA54
MUM76.N2;DIRNO;237676540;N28;76PR3G;0;76PR3G;1122;1;NORD_SUD;W;;1109;0;564985.0;6928953.0;564985.0;6928953.0;RO76
A9001210200;DIRN;;;;0;;;;;;;0;0;;;;;
MB133.K2;DIRA;723333318;A630;33PR21G;275;33PR21G;942;1;SUD_NORD;W;INTERIEUR;664;0;410555.0;6418357.0;410555.0;6418357.0;BX33
MB133.K1;DIRA;723333318;A630;33PR21D;272;33PR21D;939;1;NORD_SUD;Y;EXTERIEUR;664;0;410542.0;6418343.0;410542.0;6418343.0;BX33
MQA01.D1;DIRCE;;;;0;;;;;;;0;0;;;;;
A0022010700;DIRN;;;;0;;;;;;;0;0;;;;;
N0041020400;DIRN;;;;0;;;;;;;0;0;;;;;
MQA01.D2;DIRCE;;;;0;;;;;;;0;0;;;;;
A0023020720;DIRN;;;;0;;;;;;;0;0;;;;;
MY369.B2;DIRCE;826969029;A43;69PR2G;797;69PR3G;349;1;EST_OUEST;W;;557;0;848245.4;6516047.0;849228.4;6515868.0;LY69
