RD;SECTION;TMJA_S1;TMJA_S2;TMJA_S3;TMJO_S1;TMJO_S2;TMJO_S3;T_HPM_S1;HPM_S1;T_HPS_S1;HPS_S1;T_HPM_S2;HPM_S2;T_HPS_S2;HPS_S2;SENS1_DE;SENS1_VERS;SENS2_DE;SENS2_VERS;COMMUNE_COMPTEUR;TMJA_AA;TYPE_COMPTAGE;PERIODICITE;ANNEE_COMPTAGE;MOIS_COMPTAGE;TYPE_DU_COMPTEUR;st_length_;Geo Point;Geo Shape;ID
D72A;1660;4971;3166;8137;5739;3639;9378;414;08:00;643;18:00;427;08:00;233;18:00;Chatillon;Issy-les-Moulineaux;Issy-les-Moulineaux;Chatillon;ISSY LES MOULINEAUX;8137 (10);TOURNANT;TRIENNALE;2010;SEPTEMBRE;TUBES;777.347246706;48.8207469859,2.27384810216;"{""coordinates"": [[2.272835447301657, 48.82397175579648], [2.272889961056781, 48.823917859393404], [2.273408215750227, 48.82309126699998], [2.273721946883108, 48.822543184086136], [2.273518205874897, 48.82219255499025], [2.273491071586604, 48.82212063840761], [2.273423456853668, 48.821761093412945], [2.273696258737881, 48.82128488997961], [2.273709912837363, 48.82124894584883], [2.273737167778968, 48.82122199743448], [2.274227933300721, 48.82058412756218], [2.274445997640362, 48.82034157334624], [2.274541414296588, 48.82022478332589], [2.274351785392521, 48.81946072651291], [2.274324954949118, 48.81913715411878], [2.274202907606792, 48.818768592571466], [2.274053815555384, 48.81825621241741], [2.273769106572914, 48.817348299214096]], ""type"": ""LineString""}";1660_2010
D1;168;11985;14879;26864;14138;17944;32082;646;09:00;955;19:00;1184;09:00;1111;17:00;Levallois-Perret;Clichy;Levallois-Perret;Neuilly-sur-Seine;LEVALLOIS PERRET;26864 (12);SITER;ANNUELLE;2012;365J;BOUCLES;939.387243813;48.9010735185,2.28428300239;"{""coordinates"": [[2.278822235308605, 48.89895694787693], [2.279012992761599, 48.89902893715171], [2.279435405254944, 48.89917293506193], [2.280702637701978, 48.89962289432954], [2.281438470621972, 48.89987487730322], [2.281888140649926, 48.90003685379688], [2.282310549518179, 48.90019881598154], [2.282651209194428, 48.90032479044076], [2.282841978718911, 48.90039677426577], [2.283087247072315, 48.900495742539164], [2.284013884800812, 48.900810706032736], [2.284981366448317, 48.9011885892088], [2.285608059989019, 48.90156631898993], [2.285989545369494, 48.901782172286296], [2.286616333310582, 48.90207901288779], [2.288128876368708, 48.902744685550644], [2.288442285652987, 48.90288860649815], [2.288564926808589, 48.9029425786521], [2.288714815720053, 48.90301453655095], [2.289641434375757, 48.90343730009421]], ""type"": ""LineString""}";168_2012
D63;1320;6661;6048;12709;7152;6403;13555;666;08:00;502;18:00;363;08:00;560;18:00;Paris;Province;Province;Paris;FONTENAY AUX ROSES;12709 (11);TOURNANT;TRIENNALE;2011;NOVEMBRE;TUBES;965.599493181;48.7946463201,2.29153116114;"{""coordinates"": [[2.294485346192968, 48.79837521514159], [2.294471749167275, 48.79836622186283], [2.294335786999271, 48.7982583183529], [2.29365595097115, 48.79776373836153], [2.293574374811214, 48.797700793654194], [2.292989824185016, 48.79716130475271], [2.292595740315421, 48.79663087276402], [2.292228942506667, 48.79601955764346], [2.29145466310867, 48.79468006376457], [2.290938512862452, 48.79377208453811], [2.290734831098018, 48.79334957270853], [2.290639781623077, 48.793151801972485], [2.289919821534431, 48.792010050874985], [2.289675304307358, 48.79163246048409], [2.289349221577481, 48.79120090890143], [2.289104729165848, 48.79080534126118], [2.288982525955099, 48.790562617235274]], ""type"": ""LineString""}";1320_2011
D20;880;3889;3426;7315;4579;4109;8688;254;8:00;491;17:00;523;9:00;207;17:00;Paris;Province;Province;Paris;GENNEVILLIERS;7315 (07);TOURNANT;TRIENNALE;2007;JANVIER;TUBES;228.767827071;48.932217646,2.30482727036;"{""coordinates"": [[2.304373101323134, 48.93320716371358], [2.304359494312492, 48.93315323890117], [2.304373237368146, 48.93299147822223], [2.304387012274407, 48.93277579682444], [2.304455456441908, 48.9323893782976], [2.304523753102863, 48.93223661910113], [2.304646592325508, 48.93211083518549], [2.304810327706227, 48.932021010150876], [2.305383384900218, 48.93173358017021], [2.305738147747773, 48.93152697306858]], ""type"": ""LineString""}";880_2007
D920;7;10045;12797;22842;10569;13544;24113;564;08:00;852;18:00;915;08:00;943;18:00;Antony;Province;Antony;Bagneux;ANTONY;22842 (12);TOURNANT;ANNUELLE;2012;NOVEMBRE;TUBES;1942.35106658;48.7447946333,2.30327774505;"{""coordinates"": [[2.305029433974679, 48.75343821812014], [2.304744465103445, 48.752647179348294], [2.30469020920802, 48.75245841154856], [2.304514164984425, 48.75138876565776], [2.304487213987887, 48.75101125263901], [2.304460173474706, 48.75077755181548], [2.304324944093313, 48.749662973980314], [2.304094414164293, 48.748809028106095], [2.303986024772304, 48.74826071535273], [2.303958936788117, 48.74810790761653], [2.303904773949069, 48.747784315143704], [2.303850549042109, 48.74755959379025], [2.303823451904629, 48.74742476300323], [2.303742153690676, 48.747029256824604], [2.303701505063995, 48.746831503708], [2.303687987050371, 48.74671465315329], [2.303566032139644, 48.74613937065882], [2.303471181526598, 48.74568993086423], [2.303349271058761, 48.74505172907209], [2.303295068141994, 48.74480004236048], [2.303132496280922, 48.744000040040966], [2.303105413193308, 48.74384723204029], [2.303037645764752, 48.7435595878283], [2.302861530764419, 48.74269666261919], [2.302712490853256, 48.74200452129113], [2.302631156748556, 48.741689907436864], [2.302576991106, 48.74139327827463], [2.302482269534379, 48.74077305825356], [2.302373936042367, 48.740188787746824], [2.302333293122779, 48.740000021168925], [2.302048840783167, 48.73860675018037], [2.302021751967987, 48.73847191794469], [2.302008252077976, 48.738337089200485], [2.301723744549006, 48.73705167558813], [2.301588336074154, 48.7363415580515], [2.301534121806865, 48.73613480966263]], ""type"": ""LineString""}";7_2012
D17;790;4806;0;4806;5424;0;5424;269;0;392;0;0;09:00;0;17:00;Paris;Province;;;GENNEVILLIERS;4806 (12);TOURNANT;ANNUELLE;2012;JANVIER;TUBES;1573.8920394;48.920666269,2.30686191894;"{""coordinates"": [[2.310561911520466, 48.91410237525516], [2.309743155361828, 48.91531544405702], [2.309538268609048, 48.91598043823613], [2.309183549795743, 48.91633085148554], [2.308856089573897, 48.91669924380684], [2.308528602560024, 48.91710358388204], [2.308228389315837, 48.917498941570706], [2.308201107446096, 48.91751690906988], [2.308201101897834, 48.917525896020756], [2.30799640819426, 48.91779545769303], [2.307791657254662, 48.91816387638142], [2.307614180290011, 48.918523314284116], [2.307286411322865, 48.91938598618597], [2.306152914461941, 48.922162683244], [2.306002729893846, 48.92245022796874], [2.303640430743187, 48.92713180686117], [2.303722246577637, 48.927158790142734], [2.303763138667616, 48.92719474865605], [2.303749464907491, 48.92726658790754], [2.303684845066301, 48.9273069152967], [2.30360299619091, 48.92731101343558]], ""type"": ""LineString""}";790_2012
D17;789;0;5367;5367;0;5892;5892;0;08:00;0;17:00;310;0;401;0;;;Province;Paris;GENNEVILLIERS;5367 (12);TOURNANT;ANNUELLE;2012;JANVIER;TUBES;1562.65523395;48.9204057149,2.30637795769;"{""coordinates"": [[2.310166552841904, 48.91397646997895], [2.3092251116628, 48.91510862520941], [2.308638468640698, 48.915683659394], [2.308529303031295, 48.91582742629243], [2.307806102662231, 48.91672595750377], [2.307505819034507, 48.91723814463834], [2.30746483968277, 48.91736395347677], [2.306863881532455, 48.919026402283755], [2.30648144457122, 48.92006879827924], [2.305812204761992, 48.92178514331042], [2.304474078621972, 48.92444493511365], [2.303518193014572, 48.9263409217512], [2.303436239913758, 48.92652962493856], [2.30320405018062, 48.92704181581726], [2.303081284102695, 48.92706874283612], [2.303034553631593, 48.92709950851364]], ""type"": ""LineString""}";789_2012
D1;127;9512;12255;21767;12347;14261;26608;1258;8:00;756;18:00;1065;8:00;1248;17:00;Clichy;Saint-Denis;Clichy;Boulogne-Billancourt;CLICHY;21767 (10);TOURNANT;TRIENNALE;2010;JANVIER;TUBES;1199.55429317;48.9110549229,2.30704145193;"{""coordinates"": [[2.299929451318371, 48.90835859930939], [2.300107650385245, 48.90844678344435], [2.30027117386603, 48.90856366568476], [2.300530103242839, 48.908725510921876], [2.301865731635257, 48.909453858861326], [2.301961134198708, 48.909507809669606], [2.30228823835033, 48.909678658058574], [2.302710765745743, 48.909876493900654], [2.302956104118338, 48.90999339541684], [2.303133308033005, 48.91005635425764], [2.303242353611098, 48.91010132039587], [2.303828511656911, 48.910281223624736], [2.305150828775482, 48.91062308699495], [2.305777946301421, 48.91073109483382], [2.305941547817084, 48.91074911057958], [2.307222921155979, 48.91120777246416], [2.309390508883622, 48.9117834555971], [2.310467502093471, 48.91207128148998], [2.311339998531959, 48.91233209360258], [2.311462694720724, 48.912368067361356], [2.31158539108601, 48.91240404098925], [2.312866896068712, 48.91277277123817], [2.313848489713139, 48.91305156033616], [2.314380185592365, 48.913213426577734]], ""type"": ""LineString""}";127_2010
D128A;2140;2724;3668;6392;3150;4176;7326;472;8:00;201;18:00;325;8:00;436;17:00;Paris;Province;Province;Paris;BAGNEUX;6392 (09);TOURNANT;TRIENNALE;2009;SEPTEMBRE;TUBES;1297.09042516;48.8056419824,2.30418480588;"{""coordinates"": [[2.30794738013751, 48.81066560104638], [2.306750558126348, 48.809469931195125], [2.306002658476281, 48.808579948920816], [2.304302764318457, 48.80689878009734], [2.303854124065648, 48.80627849820465], [2.303541573749897, 48.80564027717564], [2.303256326969183, 48.80487623194116], [2.303039472023749, 48.8035729343442], [2.3026590543669, 48.802727969171706], [2.302414492888977, 48.802206603966496], [2.302292219983111, 48.80193693316691], [2.301531370706106, 48.80035484850056], [2.301368346036324, 48.80000427406329]], ""type"": ""LineString""}";2140_2009
D920;6;10548;10938;21486;10919;11514;22433;544;08:00;853;17:00;844;09:00;734;18:00;Antony;Province;Antony;Sceaux;ANTONY;21486 (12);TOURNANT;ANNUELLE;2012;NOVEMBRE;TUBES;1143.06016751;48.7584269556,2.30697521299;"{""coordinates"": [[2.308966133892011, 48.763389110092994], [2.308937093057271, 48.763348076269594], [2.308300812976988, 48.761798051970075], [2.307011105588973, 48.75856199849471], [2.30680750895686, 48.75800468051407], [2.306766776517973, 48.75791478868105], [2.306671752972089, 48.757681072051355], [2.306631031339384, 48.75757320320174], [2.306481699964094, 48.757222626552526], [2.306318817140675, 48.75680014063202], [2.306183076664975, 48.75645855457671], [2.306142358434328, 48.75635068554876], [2.306020252751896, 48.75594618606461], [2.305952394996871, 48.755757415898664], [2.305789468425571, 48.75542481041539], [2.305680911245321, 48.755101207687744], [2.305504465583141, 48.75465175155613], [2.305423029104721, 48.75444500099624], [2.305314456247983, 48.7541573500434], [2.305029427864364, 48.753447206152806]], ""type"": ""LineString""}";6_2012
D986;83;9099;8278;17377;9661;8737;18398;604;8:00;808;17:00;777;8:00;617;17:00;Gennevilliers;Saint-Denis;Gennevilliers;Asnieres;GENNEVILLIERS;17377 (07);TOURNANT;TRIENNALE;2007;JANVIER;TUBES;1182.53584124;48.9338215509,2.31237076044;"{""coordinates"": [[2.320345486232033, 48.9346123583052], [2.32011361693344, 48.9345404311955], [2.31984082757262, 48.93446849859624], [2.317426505910627, 48.934261437119574], [2.314507532224004, 48.933991327060475], [2.313361776155179, 48.93388326702289], [2.312297850173798, 48.933811160574834], [2.308969734713435, 48.93350488278045], [2.307742152314933, 48.93340573685065], [2.306350875324925, 48.93333349764954], [2.305082387353434, 48.93322532661546], [2.304373101323134, 48.93320716371358]], ""type"": ""LineString""}";83_2007
D77;1820;4322;5100;9422;4614;5557;10171;291;08:00;458;17:00;629;08:00;390;17:00;Paris;Province;Province;Paris;BAGNEUX;9422 (11);TOURNANT;TRIENNALE;2011;NOVEMBRE;TUBES;751.505376327;48.7926488181,2.31561341416;"{""coordinates"": [[2.31716574175853, 48.7958644668287], [2.316934664608751, 48.795352118237005], [2.316526866015677, 48.794516173751184], [2.315955944160872, 48.79341056213533], [2.315928761822974, 48.79334764154585], [2.315928793825605, 48.793266750453526], [2.315806456078939, 48.79303304306735], [2.315548201832364, 48.79251169798946], [2.315453054600596, 48.79232293488532], [2.315004527969369, 48.79140608427286], [2.314800656921944, 48.790992602161666], [2.314583199843873, 48.790543164744456], [2.314406540025835, 48.79012968680246], [2.314121137279123, 48.78954541646798], [2.314066776967981, 48.78942856235957]], ""type"": ""LineString""}";1820_2011
D990;56;3067;6967;10034;3806;8343;12149;323;08:00;297;18:00;736;08:00;695;18:00;Nanterre;RD986;Nanterre;RD991;NANTERRE;10034 (11);TOURNANT;TRIENNALE;2011;JUIN;TUBES;728.332840771;48.8895981009,2.18160155333;"{""coordinates"": [[2.185575974069273, 48.88762318376257], [2.185398516881278, 48.887721818068826], [2.185111821605081, 48.887892210920214], [2.184920734195188, 48.88799082715415], [2.183965366001152, 48.88845694171075], [2.183105487852862, 48.88888722274471], [2.182395726299542, 48.889245793989815], [2.181986245694026, 48.88945196889105], [2.181617729542226, 48.88963123419271], [2.181030878365047, 48.88990008483313], [2.180621387468359, 48.89010625486561], [2.180498536657894, 48.890169004444054], [2.180348427959518, 48.89023171788129], [2.177987413019396, 48.89127111107384], [2.177673414966193, 48.891441449421635], [2.177605047465368, 48.89151325593964]], ""type"": ""LineString""}";56_2011
D39;1010;8880;7935;16815;9359;8151;17510;830;09:00;676;19:00;547;09:00;701;19:00;Paris;Province;Province;Paris;RUEIL MALMAISON;16815 (13);TOURNANT;TRIENNALE;2013;JUIN;TUBES;1001.61661112;48.872494518,2.18420446278;"{""coordinates"": [[2.186720328296532, 48.86895793722951], [2.186434080308238, 48.86901150003108], [2.186092971818341, 48.86919081649372], [2.185888201014692, 48.8693343552945], [2.184605056816496, 48.87019551083175], [2.184249754803578, 48.87056353887893], [2.183702676958809, 48.87128182751594], [2.183429158901987, 48.87163198327143], [2.183155663988848, 48.871973150912766], [2.182909493876517, 48.87228739095444], [2.182704354772633, 48.87254775952655], [2.18264958964133, 48.87263756218087], [2.182525525412813, 48.873122719877024], [2.182525070498507, 48.87327550447305], [2.182647156290103, 48.87345541031773], [2.182823688393345, 48.873653361128355], [2.183095274796944, 48.87395928272217], [2.183828648092409, 48.87476010346638], [2.184209299221487, 48.87504818776351], [2.184780257446421, 48.87548929938358], [2.185554921694333, 48.87616433817697], [2.185745283177924, 48.87629939026913]], ""type"": ""LineString""}";1010_2013
D986;88;9867;0;9867;11904;0;11904;1073;09:00;986;18:00;0;;0;;;;Nanterre;Rueil Malmaison;NANTERRE;9867 (13);TOURNANT;ANNUELLE;2013;MARS;TUBES;2012.41734434;48.8938029343,2.18651435798;"{""coordinates"": [[2.198165299455909, 48.898491707373495], [2.197013635813731, 48.89754508608132], [2.196051040775354, 48.89681196615983], [2.195036843294119, 48.89617667471698], [2.194302956463958, 48.895776389165505], [2.193322707991773, 48.89536179967315], [2.192097080521342, 48.89496487871259], [2.191742996076745, 48.89485660110559], [2.189591336212266, 48.89417991780318], [2.188161883476828, 48.893584984516245], [2.188012187382072, 48.89350391250642], [2.187753504389159, 48.89340472935313], [2.187304290007147, 48.893206446899846], [2.187100077086148, 48.89312530517277], [2.186732490024102, 48.89298104667686], [2.186623582390834, 48.89293597306078], [2.186187823354018, 48.892800614238034], [2.18580648054771, 48.892701271347896], [2.185452319460934, 48.89262892360105], [2.185152599293135, 48.89258360591006], [2.184852799991535, 48.89256524925862], [2.184430334574589, 48.8925467345098], [2.183489971014715, 48.892518565162625], [2.182767601637007, 48.89251763235481], [2.18267219454266, 48.892517508828945], [2.182018000292998, 48.892507672650616], [2.181895333713673, 48.89250751308024], [2.181813556223112, 48.89250740655408], [2.180777733038451, 48.89249706603031], [2.180328091977563, 48.892451539388425], [2.178448143173016, 48.89214348712613], [2.177494685748357, 48.8919444954721], [2.176622928712533, 48.8917725680096], [2.175587932909735, 48.8915015533576], [2.175152130608465, 48.89139311545203], [2.174103549322829, 48.89111308217747]], ""type"": ""LineString""}";88_2013
D913;45;11855;13335;25190;13101;14418;27519;804;09:00;1275;19:00;1354;09:00;1051;19:00;Nanterre;Rueil Malmaison;Nanterre;Puteaux;NANTERRE;25190 (13);TOURNANT;ANNUELLE;2013;JUIN;TUBES;1356.31389797;48.8841646751,2.19251075;"{""coordinates"": [[2.20058724200879, 48.887148164613585], [2.199533879613225, 48.886696441169065], [2.19859447754454, 48.88634485019181], [2.198362993977711, 48.886272682748746], [2.19671558927054, 48.88568658167519], [2.195857868613369, 48.885380001206045], [2.194646258168466, 48.88492020830434], [2.193815792781583, 48.88462263264583], [2.192372752513378, 48.8840906398018], [2.189513887794033, 48.88307157074563], [2.188193397626327, 48.88260258912534], [2.187853032849642, 48.88249431586228], [2.186600524335331, 48.88208831278639], [2.185947246069953, 48.88180887978664], [2.184735780884024, 48.881357971995094], [2.18440905821976, 48.881249706127306]], ""type"": ""LineString""}";45_2013
D986;152;8763;0;8763;10003;0;10003;925;09:00;914;17:00;0;;0;;Rueil Malmaison;Colombes;;;NANTERRE;8763 (13);TOURNANT;ANNUELLE;2013;MARS;TUBES;663.616106265;48.9050945372,2.209365981;"{""coordinates"": [[2.212584726137255, 48.90719250720906], [2.206147235857078, 48.90299656725156]], ""type"": ""LineString""}";152_2013
D986;82;8673;10505;19178;9144;11145;20289;544;11:00;653;;729;09:00;823;17:00;Gennevilliers;Saint-Denis;Saint-Denis;Gennevilliers;VILLENEUVE LA GARENNE;19178 (13);TOURNANT;TRIENNALE;2013;JANVIER;TUBES;1215.96827677;48.9351374552,2.32858377252;"{""coordinates"": [[2.336823457552093, 48.93563796482218], [2.336359663105214, 48.93563796465968], [2.335977715231272, 48.93567391079463], [2.333877010265318, 48.93556603946013], [2.33301763311013, 48.93552108252879], [2.332062771970905, 48.93546712917528], [2.331598983135245, 48.93544014996908], [2.330794177069963, 48.935368219198814], [2.330275829266137, 48.935323258669534], [2.328843553049435, 48.935206345212514], [2.327588616830166, 48.93508044036247], [2.32735672924324, 48.93504447556009], [2.327206687821052, 48.934999529126735], [2.327029364208792, 48.934963567480494], [2.326742914292353, 48.93492759661777], [2.32647010469095, 48.93490061347328], [2.326320055754529, 48.93490060053973], [2.324996923412475, 48.93480010710928], [2.3236465231561, 48.93466668232062], [2.323169104159763, 48.934639669143216], [2.32262347586193, 48.93463960686048], [2.320672857235795, 48.93463037595824], [2.320345485552615, 48.93461235807636]], ""type"": ""LineString""}";82_2013
D908;52;11101;12582;23683;12192;14079;26271;755;10:00;820;20:00;914;09:00;1017;19:00;Courbevoie;La Garenne-Colombes;Courbevoie;Neuilly-sur-Seine;COURBEVOIE;23683 (13);SITER;ANNUELLE;2013;365J;BOUCLES;1152.97189582;48.9010799466,2.26013519193;"{""coordinates"": [[2.264457847138524, 48.89677421813521], [2.264307682041728, 48.89693589612813], [2.26423942730406, 48.89700775194105], [2.263966443449122, 48.897268213837876], [2.263829956874953, 48.8973939508262], [2.263393269709244, 48.89774418262607], [2.263270424729982, 48.89786094025553], [2.262915503485198, 48.89822020788695], [2.26236948179187, 48.898759098395935], [2.261700491523054, 48.8994866391355], [2.260799493545191, 48.900384784123446], [2.259966611355846, 48.90129195242106], [2.259529758052734, 48.901714065846186], [2.259174812030139, 48.90205534669467], [2.258929081685471, 48.902288852006635], [2.258533121847367, 48.90270200106423], [2.25817816270729, 48.903043278571594], [2.257645632272051, 48.903609115470495], [2.257154113400829, 48.904094093103645], [2.256594295418478, 48.904659906553725], [2.256089011250598, 48.9052167668959], [2.255884137115758, 48.905459280254355]], ""type"": ""LineString""}";52_2013
D907;29;8437;11026;19463;8606;12121;20727;481;09:00;494;20:00;905;08:00;789;18:00;Saint-Cloud;Garches;Saint-Cloud;Boulogne-Billancourt;SAINT CLOUD;19463 (13);SITER;ANNUELLE;2013;365J;BOUCLES;2145.03734539;48.8431077357,2.21683985958;"{""coordinates"": [[[2.222515425660394, 48.84143302259089], [2.221970696917087, 48.84146844892148], [2.221861647428172, 48.84152226914945], [2.221766174066444, 48.84159407770281], [2.221466356080222, 48.841710626324826], [2.221414964105033, 48.84181189544389]], [[2.221414964105033, 48.84181189544389], [2.221023899971369, 48.8415427190348], [2.220739164229445, 48.84130275870772], [2.220662076965218, 48.840994531610804], [2.220870800489091, 48.8404640429734], [2.22136404995612, 48.84025911041364], [2.221830607784814, 48.840379417035365], [2.221984400427387, 48.84116706311962], [2.222165713668244, 48.8412699614261], [2.222501908758997, 48.8413880717757]], [[2.221414964105033, 48.84181189544389], [2.221370621521826, 48.84189927305809], [2.221343088643722, 48.842034060236564], [2.221000992015946, 48.84278868526762], [2.220522052330869, 48.84383976567834], [2.220494717997846, 48.84388467683529], [2.220343296652104, 48.844612522286816], [2.220219327811983, 48.84524153079897], [2.220191648160265, 48.84543923027694], [2.220122611017171, 48.845861578249675], [2.220081414666683, 48.84601432639062], [2.219577610515129, 48.84599585626284], [2.219060229805025, 48.84595939563864], [2.218828774941325, 48.845941191595436], [2.218175283108003, 48.84587762944669], [2.217984804580132, 48.8458055390404], [2.217848816167345, 48.845724515127394], [2.21769966566477, 48.84544575152704], [2.217577750931451, 48.84516701493192], [2.217496606331452, 48.844924269331784], [2.217469744373853, 48.8447624659807], [2.217456251902244, 48.84470852710478], [2.217442841660008, 48.84461863782313], [2.217389180692647, 48.844268068609836], [2.217416932501688, 48.844043407085266], [2.217403750071779, 48.84385465474381], [2.217404102163288, 48.843701866316046], [2.217295478653886, 48.84356694359285], [2.216968904123582, 48.84346775188491], [2.216846415820657, 48.843440665934345], [2.215131379614431, 48.84315132311527], [2.213960622340051, 48.8430332824932], [2.212435967866511, 48.84286093558742], [2.211496596130861, 48.842788049937134], [2.211224329670154, 48.84276080044737], [2.210856791375102, 48.84271547424222], [2.209645182046755, 48.84260633542642], [2.209114269750061, 48.84255184175342], [2.20871947986319, 48.84251546744202], [2.20704514393003, 48.84231592744592]]], ""type"": ""MultiLineString""}";29_2013
D910;25;13094;12661;25755;14981;13911;28892;850;09:00;1453;20:00;1625;09:00;843;19:00;Sevres;Chaville;Sevres;Boulogne-Billancourt;SEVRES;25755 (13);SITER;ANNUELLE;2013;365J;BOUCLES;1120.2857936;48.8264425224,2.21996629921;"{""coordinates"": [[[2.223685076652363, 48.82729594016363], [2.223539499004235, 48.827287442620815], [2.222695661299736, 48.827223722509835], [2.221471075812402, 48.826979873930725], [2.221130905068676, 48.82691662991323], [2.220056009439517, 48.82669987516505], [2.219403002424879, 48.82652846631127], [2.219321389819378, 48.826501422752564], [2.219226164645681, 48.826474365612164], [2.217648376201255, 48.825933533465204], [2.217036306230404, 48.8257262017858], [2.215988927574725, 48.82540158530253], [2.214900768841777, 48.82505894215118], [2.213744585886939, 48.82470723100807], [2.213390977461122, 48.824581036657754]], [[2.223685076652363, 48.82729594016363], [2.224315920074118, 48.82705449903214], [2.22486432561791, 48.82718614068949], [2.22503704682597, 48.827911135445724], [2.22485880756914, 48.82780098980295], [2.224654889802255, 48.82767496989134], [2.224478159542186, 48.827566950886265], [2.224274204871108, 48.82745890598705], [2.224083843688201, 48.827359861177484], [2.223852548096203, 48.82730571557561], [2.223685076652363, 48.82729594016363]]], ""type"": ""MultiLineString""}";25_2013
D986;167;3940;3395;7335;4351;3743;8094;282;09:00;390;18:00;252;09:00;289;17:00;Nanterre;Colombes;Colombes;Nanterre;NANTERRE;7335 (13);TOURNANT;TRIENNALE;2013;MARS;TUBES;1099.53640244;48.911824224,2.22273682463;"{""coordinates"": [[2.229049071597516, 48.91450603599949], [2.229008202679704, 48.91448802502479], [2.228422406769375, 48.914235857657324], [2.220344370312728, 48.91079519607171], [2.216407757083373, 48.909182603547386]], ""type"": ""LineString""}";167_2013
D914;162;17739;0;17739;20940;0;20940;1576;09:00;1814;19:00;0;;0;;Paris;Province;;;NANTERRE;17739 (13);TOURNANT;ANNUELLE;2013;MARS;TUBES;2273.16281634;48.9004190563,2.22255236719;"{""coordinates"": [[2.233940756771738, 48.89565538787923], [2.233817850255544, 48.89577211524944], [2.233640439013211, 48.895879808502066], [2.232753786344335, 48.896211564761444], [2.232031000355557, 48.89639067611117], [2.231403715323644, 48.89652493170397], [2.230094724441112, 48.89673946096863], [2.229044932135186, 48.89684636397164], [2.228022510820257, 48.89689935960537], [2.227000106098544, 48.8969433594067], [2.225582271165254, 48.897049892601764], [2.224614209796894, 48.89717480729435], [2.223468607377961, 48.89745232740337], [2.222650077618718, 48.89775711151038], [2.221926716445255, 48.898169827692975], [2.221640062965553, 48.89834929505082], [2.220903074491182, 48.89875300456743], [2.220807514598221, 48.89881582190355], [2.220602641902334, 48.89899536594248], [2.220438500364518, 48.89924684686723], [2.220178815063022, 48.89955215715834], [2.219823198636143, 48.90008205176642], [2.219240601738929, 48.90114266483008], [2.219238588819855, 48.90199274200133], [2.219062496571603, 48.90374939109924], [2.218286098536185, 48.90488202836313], [2.21690787726265, 48.9060140317322], [2.214928904528037, 48.906692004434156], [2.212789470700658, 48.907136613835114], [2.212584726137255, 48.90719250720906]], ""type"": ""LineString""}";162_2013
D914;158;4621;12473;17094;5111;15257;20368;286;09:00;544;19:00;1158;08:00;1125;19:00;;;Province;Paris;NANTERRE;17094 (13);TOURNANT;ANNUELLE;2013;MARS;TUBES;1058.29042583;48.8925651036,2.2304624039;"{""coordinates"": [[2.228125994871575, 48.895550952985175], [2.227558183231455, 48.89452301705851], [2.227408265419241, 48.89357065371579], [2.227638545297482, 48.89254347848225], [2.228210009011253, 48.89189250343675], [2.229084926843112, 48.89149239587281], [2.230529262190651, 48.89136845471417], [2.232124962373009, 48.89154533480672], [2.232732571256448, 48.891746356453545], [2.233339871163062, 48.89209772509784], [2.234174573374202, 48.89274999579027], [2.234819281004763, 48.89340209098648], [2.235085200957462, 48.893452444435006], [2.235313220316206, 48.893452646813984]], ""type"": ""LineString""}";158_2013
D986;85;4522;4742;9264;4820;5030;9850;359;08:00;386;17:00;413;08:00;386;18:00;Colombes;Asnieres;Colombes;Nanterre;COLOMBES;9264 (11);TOURNANT;TRIENNALE;2011;JANVIER;TUBES;1627.03290062;48.9243843878,2.26294384103;"{""coordinates"": [[2.273321836756427, 48.9268409642089], [2.273321836756427, 48.9268409642089], [2.273103706621157, 48.92676895244428], [2.272176671283211, 48.926453911671], [2.270527084044354, 48.92592277812133], [2.270145370332592, 48.925796748543604], [2.269327406471532, 48.92553566764121], [2.268250419579465, 48.925202537345925], [2.267977774118553, 48.92511251110708], [2.26664160699781, 48.92483313839689], [2.264541885495825, 48.92443646058549], [2.264364641661848, 48.924400405364615], [2.264214648419717, 48.924382340362236], [2.263437472193424, 48.9242470613715], [2.262960271030685, 48.924156897486306], [2.262373954953532, 48.92407565113046], [2.261514895270391, 48.923985243179814], [2.261242176465069, 48.92395811003913], [2.260669476498977, 48.92389483765663], [2.260328595546013, 48.923849685171014], [2.260151342984958, 48.923822610630005], [2.259769723648645, 48.923660599750825], [2.259510738883712, 48.923570562838265], [2.25910184785274, 48.92340853201794], [2.258979161899558, 48.92337250434355], [2.258829200811717, 48.923336458662995], [2.258665561337812, 48.92332736477328], [2.25836551743078, 48.923336155123934], [2.258092707811748, 48.92337192358269], [2.257669799705405, 48.92346151387056], [2.257478857039887, 48.92347037425177], [2.257260679947788, 48.92345225523486], [2.257233404573872, 48.923452236981724], [2.257110733903765, 48.92340722037492], [2.256947219470923, 48.923317241547295], [2.256742778299419, 48.92323622176328], [2.256429250418093, 48.923146141607056], [2.256102141968158, 48.92302010344313], [2.255815835598502, 48.92296598791549], [2.255543082456349, 48.92296580255879], [2.254997476908274, 48.92302833897066], [2.254751927590999, 48.92307310547229], [2.254042610286851, 48.92317147285203], [2.253769870672284, 48.92316229657905], [2.253469870302502, 48.92314411379603], [2.252788116718747, 48.923062753486455], [2.252447130843842, 48.9230894741247]], ""type"": ""LineString""}";85_2011
